x_tom,y_tom,photo_tom,x_jerry,y_jerry,photo_jerry,pred_x_tom,pred_y_tom,pred_photo_tom,pred_x_jerry,pred_y_jerry,pred_photo_jerry
-1,-1,-1,78,280,0,-1,-1,-1,99,276,1
-1,-1,-1,99,276,1,-1,-1,-1,112,278,2
-1,-1,-1,112,278,2,-1,-1,-1,150,275,3
-1,-1,-1,150,275,3,-1,-1,-1,166,276,4
-1,-1,-1,166,276,4,-1,-1,-1,201,276,5
-1,-1,-1,201,276,5,-1,-1,-1,229,282,6
-1,-1,-1,229,282,6,-1,-1,-1,248,275,7
-1,-1,-1,248,275,7,0,82,8,298,285,8
0,82,8,298,285,8,0,42,9,313,285,9
0,42,9,313,285,9,-1,-1,-1,359,292,10
-1,-1,-1,359,292,10,8,46,11,366,286,11
8,46,11,366,286,11,0,68,12,386,284,12
0,68,12,386,284,12,0,61,13,419,293,13
0,61,13,419,293,13,0,101,14,-1,-1,-1
0,101,14,-1,-1,-1,22,67,15,-1,-1,-1
22,67,15,-1,-1,-1,42,104,16,457,287,16
42,104,16,457,287,16,164,87,17,475,286,17
164,87,17,475,286,17,127,67,18,483,268,18
127,67,18,483,268,18,84,78,19,489,271,19
84,78,19,489,271,19,242,11,20,132,129,20
242,11,20,132,129,20,237,2,21,-1,-1,-1
237,2,21,-1,-1,-1,175,139,22,88,36,22
175,139,22,88,36,22,219,43,23,-1,-1,-1
219,43,23,-1,-1,-1,216,45,24,68,83,24
216,45,24,68,83,24,99,36,25,94,99,25
99,36,25,94,99,25,159,8,26,54,32,26
159,8,26,54,32,26,12,21,27,48,41,27
12,21,27,48,41,27,58,96,28,176,181,28
58,96,28,176,181,28,73,98,29,-1,-1,-1
73,98,29,-1,-1,-1,48,69,30,499,277,30
48,69,30,499,277,30,82,8,31,494,279,31
82,8,31,494,279,31,96,9,32,454,312,32
96,9,32,454,312,32,68,0,33,442,313,33
68,0,33,442,313,33,72,0,34,397,307,34
72,0,34,397,307,34,80,0,35,334,284,35
80,0,35,334,284,35,107,11,36,320,283,36
107,11,36,320,283,36,101,8,37,311,300,37
101,8,37,311,300,37,115,44,38,291,315,38
115,44,38,291,315,38,141,81,39,263,312,39
141,81,39,263,312,39,56,14,40,260,312,40
56,14,40,260,312,40,82,29,41,276,292,41
82,29,41,276,292,41,0,71,42,292,212,42
0,71,42,292,212,42,118,173,43,317,220,43
118,173,43,317,220,43,101,155,44,325,222,44
101,155,44,325,222,44,89,152,45,323,215,45
89,152,45,323,215,45,56,149,46,322,209,46
56,149,46,322,209,46,68,154,47,321,218,47
68,154,47,321,218,47,-1,-1,-1,304,210,48
-1,-1,-1,304,210,48,177,167,49,269,199,49
177,167,49,269,199,49,0,114,50,291,207,50
0,114,50,291,207,50,0,114,51,302,239,51
0,114,51,302,239,51,1,117,52,293,245,52
1,117,52,293,245,52,0,117,53,293,272,53
0,117,53,293,272,53,0,112,54,307,292,54
0,112,54,307,292,54,0,117,55,280,311,55
0,117,55,280,311,55,0,114,56,259,319,56
0,114,56,259,319,56,0,115,57,256,321,57
0,115,57,256,321,57,3,120,58,251,319,58
